File_ID;Group_ID;Rating_1;Rating_2;Rating_3;Rating_4;Rating_5
img_1179.png;10;1;0;1;1;1
img_1180.png;10;1;1;1;1;2
img_1181.png;10;2;2;2;2;2
img_1182.png;10;0;0;0;0;0
img_1183.png;10;0;1;1;0;1
img_1184.png;10;0;0;0;0;0
img_1185.png;10;1;1;1;1;1
img_1186.png;10;2;2;2;2;2
img_1187.png;10;0;0;0;0;0
img_1188.png;10;0;0;0;0;0
img_1189.png;10;1;2;1;1;1
img_1190.png;10;2;2;2;2;2
img_1191.png;10;2;2;2;2;2
img_1192.png;10;2;0;2;2;2
img_1193.png;10;1;2;1;2;2
img_1194.png;10;1;2;2;2;2
img_1195.png;10;0;0;0;0;0
img_1196.png;10;2;2;2;2;2
img_1197.png;10;0;0;1;0;0
img_1198.png;10;2;2;2;2;2
img_1199.png;10;1;2;1;1;1
img_1200.png;10;0;0;0;0;0
img_1201.png;10;2;2;2;2;2
img_1202.png;10;1;1;1;1;1
img_1203.png;10;0;0;0;0;0
img_1204.png;10;1;1;1;2;1
img_1205.png;10;1;2;1;2;1
img_1206.png;10;1;2;2;2;2
img_1207.png;10;2;2;2;2;2
img_1208.png;10;0;0;0;0;0
img_1209.png;10;0;0;0;0;0
img_1210.png;10;0;1;1;1;0
img_1211.png;10;1;1;1;1;1
img_1212.png;10;1;2;1;1;2
img_1213.png;10;1;1;2;2;2
img_1214.png;10;2;2;2;1;2
img_1215.png;10;0;0;0;0;0
img_1216.png;10;0;0;0;0;0
img_1217.png;10;1;1;1;0;0
img_1218.png;10;0;0;0;0;0
img_1219.png;10;0;0;0;0;0
img_1220.png;10;0;0;0;0;0
img_1221.png;10;1;2;1;0;1
img_1222.png;10;2;2;2;1;2
img_1223.png;10;0;0;0;1;0
img_1224.png;10;0;0;0;0;0
img_1225.png;10;0;0;1;0;0
img_1226.png;10;2;2;2;1;2
img_1227.png;10;0;0;0;0;0
img_1228.png;10;0;1;1;1;1
img_1229.png;10;2;2;2;2;2
